sample_name,month_sampled,year_sampled,crop_system,sample_block,agg_frac,mgrast_id,agrochem_addition,crop_rotation,cur_land_use,cur_vegetation,cur_vegetation_meth,drainage_class,extreme_event,fao_class,fire,horizon,horizon_meth,link_class_info,local_class,local_class_meth,mgrast_id,microbial_biomass,microbial_biomass_meth,misc_param,ph,ph_meth,pool_dna_extracts,previous_land_use,previous_land_use_meth,profile_position,salinity_meth,samp_weight_dna_ext,sieving,slope_aspect,slope_gradient,soil_type,soil_type_meth,store_cond,texture,texture_meth,tillage,tot_n,tot_n_meth,tot_org_c_meth,tot_org_carb,water_content_soil,water_content_soil_meth,misc_param,misc_param_1,misc_param_10,misc_param_11,misc_param_12,misc_param_13,misc_param_14,misc_param_15,misc_param_16,misc_param_17,misc_param_18,misc_param_2,misc_param_3,misc_param_4,misc_param_5,misc_param_6,misc_param_7,misc_param_8,misc_param_9,MBC_MBN_meth,ExtC_ExtN_meth,AMF_col_meth,misc_para19,root_depth,misc_para20,misc_para21,misc_para22,misc_para23,misc_para24,misc_para25,misc_para26,misc_para27,misc_para28
Unique name or id of the sample the library is derived from,month sampled,year sampled,cropping system,experimental block,aggregate fraction,MG-RAST Enviromental Package ID,"addition of fertilizers, pesticides, etc. - amount and time of applications","whether or not crop is rotated, and if yes, rotation schedule",present state of sample site,"vegetation classification from one or more standard classification systems, or agricultural crop",reference or method used in vegetation classification,drainage classification from a standard system such as the USDA system,unusual physical events that may have affected microbial populations,soil classification from the FAO World Reference Database for Soil Resources,historical and/or physical evidence of fire,specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath,reference or method used in determining the horizon,link to digitized soil maps or other soil classification information,soil classification based on local soil classification system,reference or method used in determining the local soil classification,MG-RAST Enviromental Package ID,"the part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 _µm. IF you keep this, you would need to have correction factors used for conversion to the final units, which should be mg C (or N)/kg soil).",reference or method used in determining microbial biomass,"any other measurement performed or parameter collected, that is not listed here",pH measurement,reference or method used in determining pH,were multiple DNA extractions mixed? how many?,previous land use and dates,reference or method used in determining previous land use and dates,cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas,reference or method used in determining salinity,weight (g) of soil processed,collection design of pooled samples and/or sieve size and amount of sample sieved ,"the direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., NW or 315_.  This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.",commonly called ___slope.__  The angle between ground surface and a horizontal line (in percent).  This is the direction that overland water would flow.  This measure is usually taken with a hand level meter or clinometer. ,soil series name or other lower-level classification,reference or method used in determining soil series name or other lower-level classification,explain how and for how long the soil sample was stored before DNA extraction.,"the relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.",reference or method used in determining soil texture,note method(s) used for tilling,total nitrogen content of the soil Units of g N/kg soil,reference or method used in determining the total N,reference or method used in determining total organic C,Definition for soil: total organic C content of the soil units of g C/kg soil. Definition otherwise: total organic carbon content,water content (g/g or cm3/cm3),reference or method used in determining the water content of soil,total C mg/g,"any other measurement performed or parameter collected, that is not listed here",MBN ugN g-1 dry soil CFE,MBN gN m-2, ExtC ugC g-1 dry soil,Extractable C gC m-2, ExtC ugN g-1 dry soil,Extractable N gC m-2,bulk density g cm-3,"Bray Extractable P, mg kg-1 dry soil",AMF colonization %,AP Activity (nmol/h/g dry aggregate),BG Activity (nmol/h/g dry aggregate),BX Activity (nmol/h/g dry aggregate),CB Activity (nmol/h/g dry aggregate),NAG Activity (nmol/h/g dry aggregate),sum C Activity (nmol/h/g dry aggregate) BG + BX + CB,MBC ugC g-1 dry soil CFE,MBC gC m-2 CFE ,MBC_MBN_method,ExtC_ExtN_method,AMF_col_method,root_biomassMgHa,root_depth(cm),AMF_col_biomass,MBC:MBN,MWD_um,prop_agg_fraction,N2O_gas2011_umol_m2_h,CH4_gas2011_umol_m2_h,N20_gas2012_umol_m2_h,CO2_gas2011_umol_m2_s,CO2_gas2012_umol_m2_h
CC12-LM-July2012,July,2012,corn,1,LM,mge94361,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Endoaquoll,USDA NRCS,,,,,6.77,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,8-2 mm,,0-3%,Webster silty clay loam,USDA NRCS,(-80C) for 3 months,"32.2, 37.4, 30.4",pipette,no,0.103445426,dry combustion,,,0.131073446,gravimetric,5.237405777,env_package: soil,15.29833436,1.714440509,39.63016527,4.4412391,13.37876886,1.499320303,1.120671355,42,0.96460177,3817.935026,347.4823871,68.18962193,31.71779153,60.99716163,447.3898006,258.8184796,29.00504562,CFE_K2SO4,K2SO4_extraction,intersect_count,0.2197,0-15,0.2119,16.91808229,3014.572915,0.513651935,0.4021,-0.1892,0.122794592,4.29,.
CC12-Micro-July2012,July,2012,corn,1,micro,mge94364,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Endoaquoll,USDA NRCS,,,,,6.77,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,2-1 mm,,0-3%,Webster silty clay loam,USDA NRCS,(-80C) for 3 months,"32.2, 37.4, 30.5",pipette,no,0.09566322,dry combustion,,,0.094882729,gravimetric,4.352434158,env_package: soil,15.29833436,1.714440509,39.63016527,4.4412391,13.37876886,1.499320303,1.120671355,42,0.96460177,2707.967989,484.6664472,77.18980431,44.92794971,48.0673614,606.7842012,258.8184796,29.00504562,CFE_K2SO4,K2SO4_extraction,intersect_count,0.2197,0-15,0.2119,16.91808229,3014.572915,0.053514691,0.4021,-0.1892,0.122794592,4.29,.
CC12-MM-July2012,July,2012,corn,1,MM,mge94367,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Endoaquoll,USDA NRCS,,,,,6.77,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,1-0.25 mm,,0-3%,Webster silty clay loam,USDA NRCS,(-80C) for 3 months,"32.2, 37.4, 30.6",pipette,no,0.104709536,dry combustion,,,0.126931567,gravimetric,4.894068241,env_package: soil,15.29833436,1.714440509,39.63016527,4.4412391,13.37876886,1.499320303,1.120671355,42,0.96460177,3937.288068,452.920951,87.72808269,41.63592794,75.63453504,582.2849617,258.8184796,29.00504562,CFE_K2SO4,K2SO4_extraction,intersect_count,0.2197,0-15,0.2119,16.91808229,3014.572915,0.193260625,0.4021,-0.1892,0.122794592,4.29,.
CC12-SM-July2012,July,2012,corn,1,SM,mge94370,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Endoaquoll,USDA NRCS,,,,,6.77,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,<0.25 mm,,0-3%,Webster silty clay loam,USDA NRCS,(-80C) for 3 months,"32.2, 37.4, 30.7",pipette,no,0.103238307,dry combustion,,,0.116926503,gravimetric,4.682502747,env_package: soil,15.29833436,1.714440509,39.63016527,4.4412391,13.37876886,1.499320303,1.120671355,42,0.96460177,2347.249447,326.0037702,71.67988711,40.65869535,42.7971232,438.3423526,258.8184796,29.00504562,CFE_K2SO4,K2SO4_extraction,intersect_count,0.2197,0-15,0.2119,16.91808229,3014.572915,0.23957275,0.4021,-0.1892,0.122794592,4.29,.
CC12-WS-July2012,July,2012,corn,1,WS,mge94373,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Endoaquoll,USDA NRCS,,,,,6.77,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,8 mm,,0-3%,Webster silty clay loam,USDA NRCS,(-80C) for 3 months,"32.2, 37.4, 30.8",pipette,no,0.098348401,dry combustion,,,0.132502831,gravimetric,4.796504021,env_package: soil,15.29833436,1.714440509,39.63016527,4.4412391,13.37876886,1.499320303,1.120671355,42,0.96460177,3322.74954,599.6004109,91.97449035,63.79000562,72.83207178,755.3649069,258.8184796,29.00504562,CFE_K2SO4,K2SO4_extraction,intersect_count,0.2197,0-15,0.2119,16.91808229,3014.572915,.,0.4021,-0.1892,0.122794592,4.29,.
CC21-LM-July2012,July,2012,corn,2,LM,mge94376,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,somewhat poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Hapludoll,USDA NRCS,,,,,6.4,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,8-2 mm,,0-3%,Nicollet loam,USDA NRCS,(-80C) for 3 months,"43.3, 32.7, 24.0",pipette,no,0.088127702,dry combustion,,,0.13174946,gravimetric,4.537554264,env_package: soil,16.83701573,1.802457125,82.99241604,8.884607223,13.18075937,1.411043026,1.070532423,18,1,4328.5063,925.6582924,96.2243341,61.03155504,111.4568314,1082.914182,112.5883292,12.05294569,CFE_K2SO4,K2SO4_extraction,intersect_count,0.1984,0-15,0.1984,6.686952784,2923.183328,0.489315834,1.194,-1.592,.,6.09,3.36
CC21-Micro-July2012,July,2012,corn,2,micro,mge94379,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,somewhat poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Hapludoll,USDA NRCS,,,,,6.4,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,2-1 mm,,0-3%,Nicollet loam,USDA NRCS,(-80C) for 3 months,"43.3, 32.7, 24.0",pipette,no,0.090396754,dry combustion,,,0.101621622,gravimetric,4.344677448,env_package: soil,16.83701573,1.802457125,82.99241604,8.884607223,13.18075937,1.411043026,1.070532423,18,1,1598.427045,154.4682348,26.01694459,12.96797435,30.70948363,193.4531537,112.5883292,12.05294569,CFE_K2SO4,K2SO4_extraction,intersect_count,0.1984,0-15,0.1984,6.686952784,2923.183328,0.055422213,1.194,-1.592,.,6.09,3.36
CC21-MM-July2012,July,2012,corn,2,MM,mge94382,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,somewhat poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Hapludoll,USDA NRCS,,,,,6.4,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,1-0.25 mm,,0-3%,Nicollet loam,USDA NRCS,(-80C) for 3 months,"43.3, 32.7, 24.0",pipette,no,0.087689877,dry combustion,,,0.132803632,gravimetric,4.399283886,env_package: soil,16.83701573,1.802457125,82.99241604,8.884607223,13.18075937,1.411043026,1.070532423,18,1,3355.052144,255.8252895,49.89373476,15.50836568,70.43914336,321.2273899,112.5883292,12.05294569,CFE_K2SO4,K2SO4_extraction,intersect_count,0.1984,0-15,0.1984,6.686952784,2923.183328,0.211585897,1.194,-1.592,.,6.09,3.36
CC21-SM-July2012,July,2012,corn,2,SM,mge94385,72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12),no,row crop agriculture,7,USNVC,somewhat poorly drained,2012 drought year,Phaeozem,no,Ap,USDA Soil Survey,http://websoilsurvey.nrcs.usda.gov/app/WebSoilSurvey.aspx,Hapludoll,USDA NRCS,,,,,6.4,"pH meter, 1:2 soil:H2O",no,"row crop, ?-2007",,,,,<0.25 mm,,0-3%,Nicollet loam,USDA NRCS,(-80C) for 3 months,"43.3, 32.7, 24.0",pipette,no,0.084739849,dry combustion,,,0.113561191,gravimetric,4.242620945,env_package: soil,16.83701573,1.802457125,82.99241604,8.884607223,13.18075937,1.411043026,1.070532423,18,1,1876.21622,86.34072867,14.61704366,6.667534922,46.14168079,107.6253072,112.5883292,12.05294569,CFE_K2SO4,K2SO4_extraction,intersect_count,0.1984,0-15,0.1984,6.686952784,2923.183328,0.243676056,1.194,-1.592,.,6.09,3.36
